num_poste,nom_usuel,lat,lon,alti,aaaammjj,dhumec,qdhumec,pmerm,qpmerm,pmermin,qpmermin,inst,qinst,glot,qglot,dift,qdift,dirt,qdirt,infrart,qinfrart,uv,quv,uv_indicex,quv_indicex,sigma,qsigma,un,qun,hun,qhun,ux,qux,hux,qhux,um,qum,dhumi40,qdhumi40,dhumi80,qdhumi80,tsvm,qtsvm,etpmon,qetpmon,etpgrille,qetpgrille,ecoulementm,qecoulementm,hneigef,qhneigef,neigetotx,qneigetotx,neigetot06,qneigetot06,neig,qneig,brou,qbrou,orag,qorag,gresil,qgresil,grele,qgrele,rosee,qrosee,verglas,qverglas,solneige,qsolneige,gelee,qgelee,fumee,qfumee,brume,qbrume,eclair,qeclair,nb300,qnb300,ba300,qba300,tmermin,qtmermin,tmermax,qtmermax
77320002,MOUROUX_SAPC,48.847167,3.057,148,20210421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77113002,CHEVRU,48.726833,3.203333,158,20220825,,,,,,,,,,,,,,,,,,,,,,,25,1,1414,9,79,1,2351,9,51,1,467,9,0,9,15.1,9,,,6.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77489001,VAUX-SUR-LUNAIN,48.221833,2.934667,136,20220317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77333003,NEMOURS,48.27,2.715,73,20220118,,,,,,,,,,,,,,,,,,,,,,,69,1,1440,9,100,1,4,9,92,1,0,9,1152,9,7.4,9,,,0.6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77530001,VOULTON_SAPC,48.612667,3.350333,175,20200823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77320002,MOUROUX_SAPC,48.847167,3.057,148,20200515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77186002,FONTAINEBLEAU_SAPC,48.406,2.6785,84,20210818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77239001,JOUY-LE-CHATEL,48.6895,3.125167,135,20220717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77148002,CROUY-SUR-OURCQ,49.092833,3.070333,62,20220502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77418001,ST-LOUP-DE-NAUD,48.536167,3.210167,99,20201206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
