num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20200929,0.4,1,10.3,1,141,9,19.1,1,1503,9,15.4,1,14.7,1,8.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91184001,91184001,COURDIMANCHE,48.421833,2.374333,71,20211209,12.8,1,-0.4,1,2349,9,8.4,1,439,9,3.3,1,4,1,8.8,1,-2.5,9,,,133,9,3.4,1,,,7,1,160,9,2314,9,10.7,1,180,9,2339,9,,,,,,,10.1,9,,,2152,9,,
91275001,91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20210518,1,1,6.8,1,2215,9,17.8,1,1507,9,11.8,1,12.3,1,11,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91275001,91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20220604,35,1,14.1,1,2230,9,29.3,1,1242,9,18.9,1,21.7,1,15.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91405002,91405002,MILLY-LA-FORET,48.382167,2.431833,109,20220619,22.8,1,16.5,1,447,9,27.6,1,1158,9,21.5,1,22.1,1,11.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91275001,91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20211122,0.2,1,3.7,1,639,9,7.5,1,1352,9,4.9,1,5.6,1,3.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91184001,91184001,COURDIMANCHE,48.421833,2.374333,71,20211204,1.6,1,4.8,1,1801,9,12,1,837,9,8.7,1,8.4,1,7.2,1,4.6,9,,,0,9,3.4,1,,,6.5,1,200,1,5,9,13.5,1,260,1,1138,9,,,,,,,12.8,9,,,1138,9,,
91275001,91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20201228,9.8,1,1.1,1,2248,9,4.4,1,1151,9,2.7,1,2.8,1,3.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91027002,91027002,ORLY,48.718,2.397,86,20200101,1,1,-1.6,1,2352,9,5.5,1,550,9,2.1,1,2,1,7.1,1,-4.7,9,,,385,9,1.9,1,,,4.2,1,210,1,128,9,6.2,1,210,1,124,9,,,,,,,5.7,1,,,125,9,355,9
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20200221,0,1,0.3,1,513,9,10.2,1,1301,9,5.5,1,5.3,1,9.9,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91200002,91200002,DOURDAN,48.526167,1.993,116,20211104,0.6,1,1.3,1,254,9,10.3,1,1043,9,6.7,1,5.8,1,9,1,-1.7,9,,,0,9,2,1,,,4.7,1,330,1,1417,9,9.7,1,330,1,1416,9,,,,,,,9,9,,,1416,9,,
91405002,91405002,MILLY-LA-FORET,48.382167,2.431833,109,20221126,0,1,1.9,1,223,9,8.1,1,1445,9,5.1,1,5,1,6.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
