,PA01H:O3,VITRY:O3,RAMBO:O3,CERGY:O3,CHAMP:O3,EIFF3:O3,LOGNES:O3,MANT:O3,MELUN:O3,MONTG:O3,NEUIL:O3,PA13:O3,PA18:O3,RUR-E:O3,RUR_N:O3,RUR-NE:O3,RUR-NO:O3,RUR_S:O3,RUR-SE:O3,RUR-SO:O3,TREMB:O3,ULIS:O3,VILLEM:O3,VERS:O3
,PARIS 1er Les Halles,VITRY-SUR-SEINE,Rambouillet,CERGY-PONTOISE,CHAMPIGNY-SUR-MARNE,Tour Eiffel 3ème étage,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS 13ème,PARIS 18ème,Zone rurale Est - SAINTS,Zone rurale Nord - Saint-Martin-du-Tertre,Zone rurale Nord-Est - MONTGE-EN-GOELE,Zone rurale Nord-Ouest - FREMAINVILLE,Zone Rurale Sud - Bois Herpin,Zone rurale Sud-Est - Forêt de Fontainebleau,Zone rurale Sud-Ouest - Forêt de Rambouillet,TREMBLAY-EN-FRANCE,LES ULIS,VILLEMOMBLE,VERSAILLES
,PA01H,VITRY,RAMBO,CERGY,CHAMP,EIFF3,LOGNES,MANT,MELUN,MONTG,NEUIL,PA13,PA18,RUR-E,RUR_N,RUR-NE,RUR-NO,RUR_S,RUR-SE,RUR-SO,TREMB,ULIS,VILLEM,VERS
,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone,ozone
,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3,O3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2023-01-01 01:00:00Z,45.1,55.1,52.4,56.7,51.7,53.3,55.4,49.0,49.7,53.5,43.4,50.7,49.5,57.2,57.6,54.9,57.8,52.7,54.6,52.1,52.4,54.7,51.8,54.5
2023-01-01 02:00:00Z,44.7,53.7,51.0,55.1,51.0,52.2,54.7,49.7,47.7,53.4,43.1,49.0,48.7,55.4,55.9,54.0,56.5,54.6,52.2,50.9,51.8,53.1,50.7,52.9
2023-01-01 03:00:00Z,44.4,51.7,49.8,54.8,49.8,51.9,53.4,48.9,45.9,52.2,46.6,48.1,48.2,53.7,55.4,53.1,54.7,53.6,50.4,49.9,50.5,52.0,49.7,52.3
2023-01-01 04:00:00Z,45.6,52.5,49.1,54.1,51.3,51.6,54.6,49.9,44.4,52.4,46.0,49.0,49.1,51.5,54.8,52.8,56.9,52.3,48.6,49.6,50.7,51.7,49.1,52.3
2023-01-01 05:00:00Z,43.8,54.1,50.2,54.3,52.8,52.6,55.4,49.4,45.5,53.2,46.4,48.2,48.8,50.2,55.2,54.3,57.8,51.3,47.0,49.8,50.8,52.2,49.6,52.9
2023-01-01 06:00:00Z,46.9,54.2,52.0,58.3,54.0,55.1,56.4,51.4,45.1,53.3,49.8,50.9,51.6,48.6,56.7,57.4,60.0,52.1,47.1,49.0,54.1,53.0,51.6,54.6
2023-01-01 07:00:00Z,49.0,49.2,54.3,61.5,52.9,54.7,55.3,56.3,45.9,54.3,49.2,50.6,51.8,48.6,59.6,57.2,63.8,53.5,46.5,53.1,54.1,53.5,51.0,55.9
2023-01-01 08:00:00Z,51.1,53.3,53.8,58.9,54.2,55.6,54.8,53.4,49.2,54.2,51.4,52.9,53.6,51.4,59.4,58.1,62.2,53.5,46.1,53.0,56.6,57.3,53.8,56.4
