Polluant,Variable_Meteo,Correlation
NO2,Evapotranspiration,-0.2540770201895114
O3,Evapotranspiration,0.687912498531427
PM10,Evapotranspiration,0.014916578969096747
PM25,Evapotranspiration,-0.22195248382739513
NO2,Précipitations,-0.12916028333501983
O3,Précipitations,0.004988642803229957
PM10,Précipitations,-0.22814875877976531
PM25,Précipitations,-0.21020887108039235
NO2,Température,-0.1922111316628081
O3,Température,0.5367650239426845
PM10,Température,-0.05160951735715341
PM25,Température,-0.31311209987432415
NO2,Vent,-0.43382040561866303
O3,Vent,0.24951423250498195
PM10,Vent,-0.2614103943373838
PM25,Vent,-0.27878980758808497
