aaaammjj,num_poste,pmerm,tsvm,brume,brou,fumee,etpgrille
20200531,75106001,,,,,,7.7
20220719,75116008,,16.5,,,,9.0
20200226,75106001,,,,,,1.5
20211105,75114007,,,,,,1.6
20220924,75106001,,,,,,2.1
20201027,75114007,,,,,,1.1
20210712,75110001,,,,,,3.4
20220703,75106001,,,,,,6.6
20200620,75110001,,,,,,5.2
20210522,75110001,,,,,,4.2
20200430,75116008,,10.5,,,,2.7
20200916,75106001,,,,,,5.6
20210521,75107005,,,,,,5.4
20200224,75106001,,,,,,1.9
20220228,75114007,,,,,,2.5
20200817,75106001,,,,,,4.0
20221206,75110001,,,,,,0.5
20211226,75106001,,,,,,0.6
20210613,75116008,,12.7,,,,6.9
20210916,75114007,,,,,,3.4
20220208,75107005,,,,,,0.6
20220502,75110001,,,,,,4.5
20201109,75107005,,,,,,1.0
20210922,75114007,,,,,,3.0
20201127,75106001,,,,,,1.0
20220126,75116008,,6.4,,,,0.3
20200815,75107005,,,,,,4.3
20210305,75106001,,,,,,2.3
20210323,75110001,,,,,,2.3
20200714,75114007,,,,,,5.1
20210824,75114007,,,,,,5.7
20221229,75114007,,,,,,1.9
20220807,75106001,,,,,,8.1
20211015,75116008,,11.2,,,,1.4
20200426,75116008,,7.7,,,,4.5
20210209,75114007,,,,,,0.5
20200731,75107005,,,,,,8.0
20200302,75116008,,8.4,,,,1.2
20220309,75107005,,,,,,2.2
20220617,75110001,,,,,,8.7
20220110,75114007,,,,,,0.3
20200210,75114007,,,,,,2.6
20210124,75106001,,,,,,0.6
20200623,75107005,,,,,,6.8
20200310,75116008,,12.7,,,,0.9
20210622,75116008,,15.8,,,,1.3
20200505,75110001,,,,,,2.9
20220826,75114007,,,,,,5.4
20220118,75116008,,7.5,,,,0.7
20220404,75110001,,,,,,2.9
20221219,75106001,,,,,,0.8
20220102,75116008,,11.3,,,,1.4
20220403,75114007,,,,,,3.0
20210831,75107005,,,,,,4.6
20201008,75110001,,,,,,2.5
20201125,75116008,,8.4,,,,1.0
20201020,75114007,,,,,,1.0
20220808,75106001,,,,,,8.1
20211120,75110001,,,,,,0.2
20210111,75106001,,,,,,0.8
20220126,75106001,,,,,,0.4
20221219,75114007,,,,,,0.8
20200216,75110001,,,,,,3.6
20200215,75106001,,,,,,1.9
20220825,75107005,,,,,,6.3
20220516,75107005,,,,,,5.2
20221124,75106001,,,,,,1.2
20220613,75110001,,,,,,6.3
20220617,75107005,,,,,,7.3
20220701,75110001,,,,,,5.2
20220627,75114007,,,,,,6.8
20220608,75116008,,15.1,,,,4.4
20211022,75110001,,,,,,1.7
20220618,75110001,,,,,,9.0
20220212,75110001,,,,,,2.1
20200820,75107005,,,,,,5.7
20220920,75106001,,,,,,2.7
20220623,75106001,,,,,,6.9
20200926,75107005,,,,,,3.4
20221012,75107005,,,,,,1.4
20221114,75110001,,,,,,0.6
20220603,75106001,,,,,,3.7
20200709,75116008,,15.8,,,,7.0
20220713,75116008,,15.0,,,,8.6
20220401,75116008,,6.1,,,,0.9
20220302,75107005,,,,,,2.2
20200825,75114007,,,,,,6.3
20200610,75106001,,,,,,4.3
20221221,75114007,,,,,,0.6
20220111,75110001,,,,,,0.5
20200518,75106001,,,,,,5.7
20200602,75116008,,13.0,,,,6.4
20210701,75106001,,,,,,4.3
20220328,75110001,,,,,,4.2
20201015,75110001,,,,,,2.3
20220627,75106001,,,,,,6.8
20201111,75107005,,,,,,0.4
20200426,75114007,,,,,,4.9
20200630,75107005,,,,,,4.3
20220223,75114007,,,,,,1.6
20200417,75106001,,,,,,5.0
20210227,75110001,,,,,,2.0
20200717,75114007,,,,,,4.9
20220926,75114007,,,,,,2.3
20210801,75116008,,13.9,,,,4.7
20220608,75107005,,,,,,4.4
20220607,75107005,,,,,,5.1
20211110,75114007,,,,,,0.9
20220413,75110001,,,,,,1.7
20210427,75106001,,,,,,5.2
20210813,75106001,,,,,,6.2
20220109,75116008,,7.8,,,,0.6
20201203,75116008,,9.1,,,,0.5
20201118,75107005,,,,,,1.4
20201020,75107005,,,,,,0.8
20221026,75114007,,,,,,2.5
20220830,75116008,,14.6,,,,4.9
20220121,75106001,,,,,,0.9
20210816,75110001,,,,,,5.1
20211221,75116008,,5.2,,,,0.9
20210128,75110001,,,,,,0.8
20210418,75114007,,,,,,2.9
20210105,75116008,,6.6,,,,0.5
20200127,75114007,,,,,,0.8
20211122,75116008,,7.3,,,,1.5
20210301,75106001,,,,,,2.0
20200721,75106001,,,,,,7.7
20211006,75110001,,,,,,3.2
20200330,75114007,,,,,,3.6
20220914,75106001,,,,,,4.4
20211010,75106001,,,,,,1.9
20211231,75116008,,11.7,,,,0.9
20200530,75116008,,9.9,,,,6.4
20221023,75110001,,,,,,3.9
20200818,75114007,,,,,,5.4
20211126,75116008,,7.7,,,,0.6
20200612,75106001,,,,,,3.4
20221111,75116008,,10.4,,,,1.2
20210911,75114007,,,,,,4.0
20221231,75110001,,,,,,3.4
20200414,75114007,,,,,,4.0
20220813,75110001,,,,,,9.0
20210919,75114007,,,,,,3.6
20201101,75106001,,,,,,0.9
20200922,75116008,,12.4,,,,3.8
20201204,75116008,,7.2,,,,1.2
20220612,75114007,,,,,,7.0
20200420,75106001,,,,,,5.4
20200112,75106001,,,,,,0.7
20221228,75106001,,,,,,0.6
20201225,75107005,,,,,,1.0
20210324,75116008,,7.5,,,,2.4
20220215,75110001,,,,,,1.4
20220601,75107005,,,,,,5.1
20200903,75114007,,,,,,5.9
20220505,75114007,,,,,,3.9
20210121,75110001,,,,,,0.9
20211031,75107005,,,,,,1.2
20220905,75106001,,,,,,5.8
20211223,75107005,,,,,,0.4
20211014,75106001,,,,,,1.8
20211203,75106001,,,,,,1.6
20210207,75106001,,,,,,0.7
20201204,75107005,,,,,,1.2
20201024,75110001,,,,,,1.5
20210713,75110001,,,,,,1.2
20210906,75116008,,16.6,,,,4.8
20210530,75116008,,11.0,,,,6.0
20220101,75107005,,,,,,1.1
20210815,75116008,,17.6,,,,5.4
20210616,75114007,,,,,,8.7
20200111,75114007,,,,,,1.5
20200125,75106001,,,,,,0.4
20200112,75107005,,,,,,0.5
20210728,75110001,,,,,,5.3
20220816,75114007,,,,,,4.2
20220903,75107005,,,,,,3.8
20201020,75106001,,,,,,1.0
20221215,75110001,,,,,,1.1
20210904,75116008,,19.4,,,,3.7
20200802,75116008,,12.8,,,,6.3
20221009,75116008,,9.6,,,,2.3
20200702,75110001,,,,,,4.9
20210331,75114007,,,,,,4.3
20210501,75116008,,8.2,,,,2.2
20211110,75107005,,,,,,0.8
20220516,75110001,,,,,,5.9
20220406,75110001,,,,,,2.6
20210123,75116008,,7.1,,,,0.8
20201224,75114007,,,,,,0.9
20221203,75107005,,,,,,0.7
20210113,75107005,,,,,,0.2
20210405,75114007,,,,,,1.9
20220115,75114007,,,,,,1.0
20201103,75116008,,8.6,,,,1.8
20220320,75107005,,,,,,2.7
20200520,75107005,,,,,,5.3
20201008,75116008,,14.7,,,,2.4
20200504,75116008,,12.7,,,,3.4
20221006,75106001,,,,,,2.8
20210518,75106001,,,,,,3.6
20210103,75110001,,,,,,0.6
20201231,75114007,,,,,,0.8
20201106,75107005,,,,,,1.5
20200330,75116008,,4.0,,,,3.7
20220307,75107005,,,,,,2.2
20220425,75107005,,,,,,4.2
20221212,75116008,,4.6,,,,0.7
20220302,75110001,,,,,,2.4
20211009,75116008,,10.9,,,,2.1
20200605,75107005,,,,,,3.5
20220424,75110001,,,,,,4.2
20200130,75116008,,11.1,,,,0.2
20211113,75116008,,12.1,,,,1.1
20220106,75110001,,,,,,1.2
20220619,75116008,,16.6,,,,4.8
20210313,75116008,,8.0,,,,2.5
20210404,75116008,,7.1,,,,2.4
20200319,75114007,,,,,,2.9
20211110,75106001,,,,,,0.9
20210513,75110001,,,,,,3.4
20210817,75116008,,14.2,,,,2.4
20221109,75116008,,11.4,,,,1.5
20210725,75106001,,,,,,3.8
20210104,75114007,,,,,,0.7
20210602,75107005,,,,,,4.9
20220817,75107005,,,,,,3.4
20200218,75114007,,,,,,2.0
20211224,75114007,,,,,,0.5
20220114,75106001,,,,,,1.0
20201021,75106001,,,,,,3.1
20200722,75116008,,10.3,,,,6.7
20220414,75110001,,,,,,3.9
20201225,75110001,,,,,,1.1
20201211,75110001,,,,,,0.4
20200502,75116008,,9.0,,,,3.9
20220227,75107005,,,,,,2.4
20211202,75106001,,,,,,1.5
20200322,75114007,,,,,,3.5
20221005,75106001,,,,,,3.0
20200504,75114007,,,,,,3.8
20220901,75110001,,,,,,5.9
20211023,75116008,,9.7,,,,1.5
20220731,75114007,,,,,,6.9
20220828,75114007,,,,,,5.6
20220611,75116008,,15.5,,,,5.0
20220330,75114007,,,,,,1.8
20201203,75110001,,,,,,0.7
20200714,75107005,,,,,,4.7
20220225,75110001,,,,,,2.2
20220117,75114007,,,,,,0.6
20220928,75116008,,11.2,,,,2.4
20210803,75106001,,,,,,3.5
20220226,75114007,,,,,,2.3
20221213,75116008,,3.9,,,,1.1
20210904,75106001,,,,,,4.1
20210916,75106001,,,,,,3.4
20211206,75106001,,,,,,0.9
20200306,75110001,,,,,,2.2
20200207,75106001,,,,,,1.7
20201216,75110001,,,,,,0.6
20221020,75116008,,16.8,,,,2.6
20201223,75107005,,,,,,1.3
20210727,75106001,,,,,,2.3
20200202,75114007,,,,,,1.0
20210129,75114007,,,,,,2.1
20200608,75114007,,,,,,3.9
20220706,75116008,,13.6,,,,6.1
20221003,75106001,,,,,,1.2
20220501,75116008,,8.1,,,,4.2
20210227,75106001,,,,,,2.0
20200405,75114007,,,,,,5.8
20220630,75106001,,,,,,2.1
20200822,75110001,,,,,,6.2
20200610,75107005,,,,,,4.1
20200919,75114007,,,,,,5.3
20200301,75116008,,8.1,,,,0.8
20200313,75107005,,,,,,2.7
20200218,75106001,,,,,,2.0
20221203,75110001,,,,,,0.8
20220604,75116008,,18.4,,,,4.2
20210611,75116008,,17.3,,,,5.3
20200315,75107005,,,,,,2.8
20210224,75110001,,,,,,2.4
20220217,75110001,,,,,,3.5
20221128,75110001,,,,,,0.9
20211007,75116008,,11.2,,,,1.7
20220715,75110001,,,,,,7.8
20200612,75114007,,,,,,3.4
20200405,75110001,,,,,,5.8
20200715,75110001,,,,,,4.5
20200202,75116008,,13.8,,,,0.8
20220612,75116008,,12.6,,,,6.2
20200827,75116008,,14.4,,,,4.7
20210708,75114007,,,,,,5.3
20210531,75116008,,9.6,,,,6.6
20220819,75110001,,,,,,3.7
20220612,75106001,,,,,,7.0
20221110,75110001,,,,,,0.9
20210218,75110001,,,,,,1.6
20200116,75114007,,,,,,1.5
20220809,75110001,,,,,,8.2
20220907,75116008,,16.7,,,,2.6
20201018,75110001,,,,,,1.4
20211112,75106001,,,,,,0.7
20210823,75107005,,,,,,2.7
20210528,75116008,,11.0,,,,5.0
20210129,75116008,,9.7,,,,2.1
20210304,75114007,,,,,,1.7
20220722,75110001,,,,,,3.3
20220924,75107005,,,,,,2.0
20201114,75110001,,,,,,2.0
20200908,75106001,,,,,,4.1
20201105,75116008,,7.4,,,,1.8
20200412,75114007,,,,,,5.4
20220511,75114007,,,,,,6.6
20220123,75107005,,,,,,0.7
20210818,75107005,,,,,,2.9
20220604,75107005,,,,,,4.2
20200227,75116008,,7.5,,,,2.1
20210521,75110001,,,,,,5.6
20211221,75107005,,,,,,0.9
20200122,75116008,,5.1,,,,0.7
20220430,75107005,,,,,,4.4
20200425,75114007,,,,,,5.5
20210707,75106001,,,,,,5.3
20200208,75116008,,9.8,,,,0.9
20220823,75110001,,,,,,4.4
20211114,75107005,,,,,,1.1
20210622,75106001,,,,,,1.8
20200713,75106001,,,,,,7.4
